time,x,y,z
17:40:25:884,0.34,0.86,-0.24
17:40:25:886,0.25,0.83,-0.08
17:40:25:888,0.18,0.77,0.11
17:40:25:898,0.17,0.69,0.28
17:40:25:903,0.28,0.63,0.43
17:40:25:944,0.46,0.67,0.51
17:40:25:946,0.66,0.78,0.55
17:40:25:949,0.88,0.93,0.56
17:40:25:951,1.08,1.07,0.56
17:40:25:954,1.26,1.09,0.59
17:40:25:961,1.36,1.02,0.68
17:40:25:980,1.39,0.90,0.83
17:40:25:983,1.32,0.77,1.05
17:40:25:996,1.17,0.68,1.23
17:40:26:0,0.97,0.66,1.33
17:40:26:51,0.89,0.70,1.43
17:40:26:54,0.90,0.72,1.50
17:40:26:66,1.03,0.72,1.56
17:40:26:72,1.28,0.68,1.65
17:40:26:74,1.51,0.61,1.68
17:40:26:76,1.76,0.61,1.70
17:40:26:78,1.96,0.63,1.70
17:40:26:80,2.09,0.65,1.71
17:40:26:99,2.19,0.62,1.75
17:40:26:101,2.21,0.47,1.78
17:40:26:121,2.19,0.27,1.81
17:40:26:125,2.16,0.04,1.80
17:40:26:128,2.05,-0.16,1.76
17:40:26:165,1.90,-0.28,1.71
17:40:26:168,1.73,-0.34,1.71
17:40:26:170,1.54,-0.38,1.72
17:40:26:172,1.40,-0.37,1.73
17:40:26:174,1.32,-0.36,1.75
17:40:26:190,1.27,-0.29,1.74
17:40:26:193,1.28,-0.15,1.71
17:40:26:211,1.27,0.01,1.66
17:40:26:213,1.22,0.15,1.56
17:40:26:257,1.16,0.20,1.39
17:40:26:260,1.07,0.13,1.20
17:40:26:262,0.94,-0.04,1.00
17:40:26:264,0.82,-0.22,0.81
17:40:26:265,0.70,-0.39,0.65
17:40:26:271,0.64,-0.50,0.55
17:40:26:280,0.64,-0.48,0.53
17:40:26:320,0.68,-0.38,0.54
17:40:26:322,0.71,-0.23,0.57
17:40:26:325,0.71,-0.10,0.59
17:40:26:326,0.67,-0.04,0.61
17:40:26:334,0.62,-0.02,0.65
17:40:26:339,0.58,-0.00,0.70
17:40:26:348,0.53,0.03,0.76
17:40:26:361,0.43,0.10,0.79
17:40:26:368,0.32,0.16,0.77
17:40:26:378,0.23,0.17,0.72
17:40:26:387,0.18,0.14,0.62
17:40:26:397,0.17,0.10,0.48
17:40:26:447,0.17,0.03,0.32
17:40:26:450,0.16,-0.02,0.15
17:40:26:452,0.11,-0.07,0.02
17:40:26:453,0.07,-0.12,-0.08
17:40:26:457,0.01,-0.12,-0.17
17:40:26:460,-0.04,-0.07,-0.23
17:40:26:469,-0.07,0.03,-0.28
17:40:26:481,-0.11,0.15,-0.31
17:40:26:485,-0.15,0.26,-0.30
17:40:26:529,-0.21,0.36,-0.27
17:40:26:531,-0.27,0.46,-0.26
17:40:26:532,-0.34,0.53,-0.25
17:40:26:534,-0.40,0.58,-0.26
17:40:26:535,-0.43,0.58,-0.30
17:40:26:546,-0.47,0.53,-0.33
17:40:26:553,-0.50,0.49,-0.37
17:40:26:563,-0.51,0.47,-0.41
17:40:26:572,-0.52,0.45,-0.42
17:40:26:582,-0.50,0.46,-0.42
17:40:26:621,-0.43,0.48,-0.41
17:40:26:623,-0.39,0.50,-0.37
17:40:26:625,-0.34,0.50,-0.32
17:40:26:627,-0.31,0.50,-0.27
17:40:26:635,-0.30,0.49,-0.22
17:40:26:640,-0.26,0.47,-0.16
17:40:26:650,-0.23,0.46,-0.12
17:40:26:661,-0.19,0.47,-0.06
17:40:26:669,-0.15,0.49,-0.00
17:40:26:679,-0.15,0.52,0.04
17:40:26:689,-0.15,0.53,0.07
17:40:26:724,-0.15,0.54,0.06
17:40:26:727,-0.16,0.52,0.01
17:40:26:729,-0.15,0.47,-0.03
17:40:26:731,-0.13,0.39,-0.08
17:40:26:737,-0.12,0.29,-0.12
17:40:26:747,-0.12,0.21,-0.14
17:40:26:757,-0.11,0.16,-0.14
17:40:26:767,-0.11,0.19,-0.15
17:40:26:779,-0.11,0.26,-0.15
17:40:26:786,-0.13,0.32,-0.13
17:40:26:796,-0.19,0.35,-0.10
17:40:26:805,-0.28,0.36,-0.05
17:40:26:848,-0.35,0.37,-0.02
17:40:26:851,-0.38,0.38,-0.02
17:40:26:946,-0.34,0.40,-0.07
17:40:26:950,-0.28,0.40,-0.13
17:40:26:952,-0.19,0.35,-0.18
17:40:26:954,-0.13,0.30,-0.21
17:40:26:956,-0.12,0.25,-0.23
17:40:26:958,-0.12,0.21,-0.25
17:40:26:961,-0.15,0.19,-0.25
17:40:26:963,-0.15,0.18,-0.26
17:40:26:965,-0.15,0.16,-0.25
17:40:26:967,-0.13,0.16,-0.22
17:40:26:969,-0.10,0.16,-0.20
17:40:26:970,-0.08,0.16,-0.20
17:40:26:972,-0.06,0.18,-0.21
17:40:26:973,-0.06,0.18,-0.23
17:40:26:974,-0.08,0.19,-0.28
17:40:26:981,-0.13,0.21,-0.33
17:40:26:990,-0.19,0.24,-0.38
17:40:27:0,-0.25,0.29,-0.42
17:40:27:36,-0.39,0.41,-0.49
17:40:27:39,-0.38,0.52,-0.52
17:40:27:40,-0.34,0.59,-0.52
17:40:27:42,-0.37,0.67,-0.57
17:40:27:71,-0.26,0.68,-0.57
17:40:27:74,-0.24,0.70,-0.58
17:40:27:77,-0.26,0.73,-0.59
17:40:27:79,-0.18,0.74,-0.55
17:40:27:87,-0.14,0.76,-0.51
17:40:27:97,-0.10,0.77,-0.47
17:40:27:106,0.00,0.77,-0.48
17:40:27:119,0.12,0.75,-0.49
17:40:27:152,0.24,0.71,-0.50
17:40:27:154,0.33,0.64,-0.50
17:40:27:156,0.43,0.56,-0.44
17:40:27:158,0.52,0.47,-0.34
17:40:27:165,0.58,0.38,-0.19
17:40:27:175,0.66,0.32,-0.02
17:40:27:184,0.74,0.29,0.11
17:40:27:196,0.79,0.28,0.22
17:40:27:203,0.81,0.25,0.26
17:40:27:213,0.78,0.20,0.26
17:40:27:223,0.66,0.08,0.26
17:40:27:254,0.53,-0.04,0.26
17:40:27:257,0.46,-0.13,0.32
17:40:27:260,0.38,-0.17,0.41
17:40:27:263,0.34,-0.13,0.51
17:40:27:271,0.35,-0.06,0.57
17:40:27:281,0.38,-0.01,0.56
17:40:27:292,0.45,-0.04,0.51
17:40:27:301,0.50,-0.13,0.44
17:40:27:340,0.50,-0.25,0.37
17:40:27:345,0.44,-0.37,0.33
17:40:27:348,0.35,-0.43,0.31
17:40:27:350,0.27,-0.42,0.31
17:40:27:352,0.22,-0.37,0.33
17:40:27:363,0.22,-0.27,0.36
17:40:27:369,0.29,-0.20,0.39
17:40:27:381,0.40,-0.15,0.42
17:40:27:388,0.50,-0.16,0.41
17:40:27:398,0.61,-0.22,0.38
17:40:27:409,0.66,-0.30,0.32
17:40:27:418,0.65,-0.40,0.27
17:40:27:462,0.64,-0.50,0.23
17:40:27:465,0.60,-0.58,0.22
17:40:27:468,0.58,-0.67,0.25
17:40:27:470,0.58,-0.73,0.30
17:40:27:472,0.52,-0.75,0.37
17:40:27:482,0.46,-0.73,0.43
17:40:27:486,0.41,-0.68,0.45
17:40:27:498,0.31,-0.64,0.43
17:40:27:505,0.23,-0.62,0.39
17:40:27:515,0.13,-0.64,0.32
17:40:27:525,0.00,-0.64,0.28
17:40:27:563,-0.05,-0.60,0.27
17:40:27:566,-0.05,-0.50,0.29
17:40:27:569,0.00,-0.35,0.32
17:40:27:571,0.10,-0.20,0.34
17:40:27:574,0.21,-0.08,0.32
17:40:27:585,0.29,0.01,0.32
17:40:27:593,0.34,0.08,0.32
17:40:27:602,0.40,0.14,0.30
17:40:27:645,0.41,0.19,0.29
17:40:27:648,0.43,0.29,0.27
17:40:27:651,0.46,0.39,0.24
17:40:27:653,0.48,0.51,0.25
17:40:27:656,0.55,0.62,0.30
17:40:27:665,0.64,0.70,0.36
17:40:27:670,0.73,0.74,0.44
17:40:27:683,0.83,0.80,0.54
17:40:27:690,0.91,0.85,0.62
17:40:27:700,1.01,0.91,0.69
17:40:27:709,1.13,1.00,0.74
17:40:27:749,1.26,1.12,0.74
17:40:27:752,1.37,1.26,0.72
17:40:27:755,1.47,1.40,0.65
17:40:27:759,1.51,1.47,0.56
17:40:27:762,1.53,1.51,0.42
17:40:27:772,1.53,1.52,0.25
17:40:27:779,1.51,1.50,0.07
17:40:27:792,1.47,1.48,-0.15
17:40:27:798,1.42,1.45,-0.37
17:40:27:872,1.34,1.40,-0.56
17:40:27:875,1.23,1.34,-0.71
17:40:27:877,1.09,1.29,-0.79
17:40:27:880,0.97,1.25,-0.77
17:40:27:882,0.72,1.38,-0.78
17:40:27:886,0.72,1.58,-0.66
17:40:27:888,0.75,1.71,-0.48
17:40:27:890,0.86,1.71,-0.34
17:40:27:891,1.09,1.55,-0.12
17:40:27:904,1.15,1.28,-0.04
17:40:27:906,1.23,1.06,-0.08
17:40:27:921,1.21,0.96,-0.17
17:40:27:923,1.24,0.93,-0.32
17:40:27:956,1.29,0.99,-0.44
17:40:27:960,1.36,1.07,-0.54
17:40:27:963,1.49,1.15,-0.57
17:40:27:965,1.62,1.10,-0.52
17:40:27:978,1.58,1.01,-0.43
17:40:27:981,1.55,0.93,-0.26
17:40:27:995,1.53,0.84,-0.09
17:40:28:8,1.52,0.80,0.07
17:40:28:12,1.57,0.77,0.16
17:40:28:25,1.57,0.74,0.15
17:40:28:59,1.59,0.72,0.05
17:40:28:62,1.57,0.66,-0.15
17:40:28:63,1.56,0.62,-0.39
17:40:28:65,1.55,0.53,-0.65
17:40:28:68,1.54,0.46,-0.86
17:40:28:81,1.58,0.45,-0.96
17:40:28:87,1.64,0.43,-0.95
17:40:28:98,1.73,0.44,-0.78
17:40:28:107,1.81,0.47,-0.51
17:40:28:117,1.92,0.49,-0.26
17:40:28:156,2.06,0.50,-0.11
17:40:28:161,2.12,0.49,-0.19
17:40:28:164,2.11,0.45,-0.45
17:40:28:166,1.95,0.35,-0.82
17:40:28:169,1.79,0.17,-1.21
17:40:28:176,1.66,-0.10,-1.51
17:40:28:185,1.53,-0.45,-1.70
17:40:28:197,1.46,-0.78,-1.79
17:40:28:204,1.43,-0.99,-1.78
17:40:28:215,1.42,-1.01,-1.68
17:40:28:224,1.42,-0.87,-1.53
17:40:28:234,1.47,-0.65,-1.37
17:40:28:243,1.50,-0.43,-1.22
17:40:28:275,1.54,-0.24,-1.14
17:40:28:280,1.62,-0.12,-1.13
17:40:28:282,1.67,-0.07,-1.23
17:40:28:285,1.65,-0.11,-1.47
17:40:28:292,1.55,-0.25,-1.81
17:40:28:302,1.36,-0.42,-2.19
17:40:28:344,1.07,-0.63,-2.56
17:40:28:348,0.80,-0.81,-2.78
17:40:28:351,0.60,-0.94,-2.88
17:40:28:354,0.51,-1.07,-2.86
17:40:28:357,0.51,-1.15,-2.68
17:40:28:360,0.64,-1.17,-2.36
17:40:28:370,0.87,-1.11,-1.92
17:40:28:383,1.02,-0.93,-1.43
17:40:28:389,1.04,-0.69,-1.02
17:40:28:400,0.92,-0.47,-0.83
17:40:28:409,0.77,-0.25,-0.80
17:40:28:418,0.55,-0.09,-0.89
17:40:28:463,0.30,-0.05,-1.11
17:40:28:467,0.05,-0.10,-1.30
17:40:28:470,-0.19,-0.25,-1.50
17:40:28:472,-0.31,-0.52,-1.71
17:40:28:475,-0.33,-0.83,-1.91
17:40:28:480,-0.31,-1.11,-2.14
17:40:28:488,-0.27,-1.36,-2.41
17:40:28:500,-0.22,-1.52,-2.67
17:40:28:506,-0.15,-1.56,-2.85
17:40:28:516,-0.01,-1.49,-2.85
17:40:28:525,0.21,-1.35,-2.67
17:40:28:535,0.41,-1.07,-2.39
17:40:28:578,0.59,-0.70,-2.05
17:40:28:582,0.73,-0.36,-1.79
17:40:28:585,0.73,-0.11,-1.67
17:40:28:587,0.68,-0.02,-1.67
17:40:28:590,0.57,-0.16,-1.75
17:40:28:594,0.41,-0.47,-1.92
17:40:28:603,0.27,-0.84,-2.13
17:40:28:617,0.14,-1.22,-2.32
17:40:28:622,0.08,-1.49,-2.50
17:40:28:663,-0.02,-1.60,-2.59
17:40:28:667,-0.04,-1.66,-2.49
17:40:28:670,-0.07,-1.66,-2.22
17:40:28:672,-0.22,-1.67,-1.79
17:40:28:673,0.09,-1.67,-1.33
17:40:28:682,0.22,-1.56,-0.95
17:40:28:690,0.34,-1.51,-0.76
17:40:28:700,0.66,-1.43,-0.62
17:40:28:709,0.73,-1.37,-0.54
17:40:28:719,0.86,-1.40,-0.52
17:40:28:751,1.00,-1.36,-0.47
17:40:28:753,1.10,-1.33,-0.54
17:40:28:755,1.07,-1.32,-0.62
17:40:28:758,0.98,-1.27,-0.69
17:40:28:768,0.86,-1.19,-0.79
17:40:28:832,0.68,-1.02,-0.90
17:40:28:835,0.46,-0.73,-1.03
17:40:28:838,0.31,-0.40,-1.09
17:40:28:841,0.36,-0.10,-1.11
17:40:28:842,0.58,0.09,-1.12
17:40:28:845,0.81,0.14,-1.07
17:40:28:847,1.02,0.08,-1.03
17:40:28:849,1.16,-0.01,-1.03
17:40:28:857,1.12,-0.01,-1.00
17:40:28:893,1.01,0.13,-1.04
17:40:28:897,0.82,0.37,-1.17
17:40:28:899,0.47,0.66,-1.27
17:40:28:900,0.14,0.89,-1.37
17:40:28:904,-0.01,1.01,-1.47
17:40:28:916,0.01,1.05,-1.48
17:40:28:923,0.13,1.07,-1.40
17:40:28:935,0.42,1.03,-1.27
17:40:28:942,0.73,1.02,-1.11
17:40:28:975,1.00,1.09,-0.98
17:40:28:978,1.28,1.24,-0.90
17:40:28:980,1.47,1.49,-0.90
17:40:28:983,1.54,1.79,-0.96
17:40:28:991,1.58,2.06,-1.11
17:40:29:1,1.64,2.18,-1.27
17:40:29:14,1.71,2.20,-1.45
17:40:29:23,1.82,2.15,-1.58
17:40:29:48,2.00,2.09,-1.62
17:40:29:51,2.15,2.06,-1.63
17:40:29:54,2.23,2.00,-1.58
17:40:29:59,2.23,1.91,-1.53
17:40:29:88,2.11,1.81,-1.53
17:40:29:91,1.90,1.67,-1.53
17:40:29:92,1.67,1.56,-1.59
17:40:29:101,1.43,1.51,-1.64
17:40:29:108,1.20,1.45,-1.69
17:40:29:118,1.05,1.39,-1.77
17:40:29:127,0.90,1.44,-1.77
17:40:29:155,0.88,1.56,-1.73
17:40:29:158,0.94,1.77,-1.66
