time;x;y;z;gforce
0,0030;0,5590;-0,8365;0,2033;1,026
0,0050;0,5590;-0,8404;0,1954;1,028
0,0210;0,5629;-0,8326;0,1954;1,024
0,0390;0,5629;-0,8365;0,1954;1,027
0,0510;0,5707;-0,8326;0,1954;1,028
0,0540;0,5629;-0,8365;0,1954;1,027
0,0940;0,5590;-0,8365;0,1915;1,024
0,0960;0,5550;-0,8248;0,1954;1,013
0,0980;0,5511;-0,8326;0,1954;1,017
0,1010;0,5511;-0,8365;0,1954;1,021
0,1140;0,5550;-0,8365;0,2033;1,024
0,1160;0,5590;-0,8326;0,1993;1,022
0,1290;0,5550;-0,8404;0,1915;1,025
0,1420;0,5590;-0,8443;0,1915;1,031
0,1450;0,5667;-0,8404;0,1915;1,032
0,1840;0,5590;-0,8443;0,1954;1,031
0,1860;0,5629;-0,8443;0,1954;1,033
0,1880;0,5629;-0,8365;0,1993;1,028
0,2000;0,5629;-0,8365;0,1954;1,027
0,2040;0,5590;-0,8365;0,2033;1,026
0,2170;0,5550;-0,8365;0,1993;1,023
0,2250;0,5590;-0,8326;0,1954;1,022
0,2370;0,5590;-0,8365;0,1993;1,026
0,2560;0,5550;-0,8404;0,1954;1,026
0,2600;0,5550;-0,8248;0,1954;1,013
0,2980;0,5550;-0,7973;0,1758;0,987
0,3000;0,5629;-0,8443;0,2110;1,036
0,3010;0,5511;-0,8482;0,1876;1,029
0,3040;0,5629;-0,8287;0,2071;1,023
0,3050;0,5707;-0,8326;0,1993;1,029
0,3190;0,5667;-0,8365;0,2033;1,031
0,3300;0,5667;-0,8443;0,2033;1,037
0,3340;0,5667;-0,8365;0,2033;1,031
0,4040;0,5590;-0,8365;0,2033;1,026
0,4060;0,5472;-0,8326;0,1993;1,016
0,4230;0,5433;-0,8326;0,1993;1,014
0,4240;0,5433;-0,8287;0,1954;1,010
0,4260;0,5433;-0,8326;0,1993;1,014
0,4280;0,5511;-0,8443;0,2033;1,029
0,4300;0,5511;-0,8365;0,1993;1,021
0,4320;0,5590;-0,8287;0,1954;1,019
0,4390;0,5629;-0,8365;0,1993;1,028
0,4400;0,5667;-0,8443;0,2033;1,037
0,4610;0,5707;-0,8404;0,2033;1,036
0,4630;0,5667;-0,8404;0,2033;1,034
0,4650;0,5667;-0,8443;0,2033;1,037
0,4760;0,5590;-0,8404;0,2033;1,030
0,4860;0,5550;-0,8404;0,1993;1,027
0,4940;0,5550;-0,8365;0,1993;1,023
0,5410;0,5511;-0,8365;0,1993;1,021
0,5430;0,5511;-0,8287;0,1993;1,015
0,5450;0,5472;-0,8326;0,1954;1,015
0,5490;0,5472;-0,8326;0,1993;1,016
0,5500;0,5550;-0,8326;0,1915;1,019
0,5580;0,5590;-0,8404;0,1993;1,029
0,5640;0,5590;-0,8365;0,2033;1,026
0,6050;0,5590;-0,8365;0,1993;1,026
0,6080;0,5590;-0,8287;0,2189;1,023
0,6100;0,5629;-0,8365;0,2071;1,029
0,6120;0,5746;-0,8365;0,1915;1,033
0,6150;0,5823;-0,8404;0,1954;1,041
0,6240;0,5785;-0,8482;0,2071;1,047
0,6690;0,5746;-0,8482;0,1915;1,042
0,6710;0,5511;-0,8287;0,1758;1,011
0,6730;0,5472;-0,8248;0,1876;1,007
0,6750;0,5433;-0,8326;0,2071;1,015
0,6760;0,5433;-0,8365;0,1993;1,017
0,6850;0,5433;-0,8208;0,1954;1,004
0,6940;0,5550;-0,8169;0,1876;1,005
0,7140;0,5590;-0,8365;0,2071;1,027
0,7160;0,5590;-0,8482;0,2149;1,038
0,7250;0,5667;-0,8326;0,2266;1,032
0,7360;0,5667;-0,8326;0,2149;1,030
0,7440;0,5667;-0,8365;0,2266;1,036
0,7900;0,5746;-0,8365;0,2149;1,037
0,7930;0,5823;-0,8208;0,2306;1,032
0,7950;0,5785;-0,8287;0,2384;1,038
0,7960;0,5629;-0,8560;0,2110;1,046
0,7980;0,5746;-0,8169;0,2228;1,023
0,8100;0,5667;-0,8248;0,2149;1,024
0,8140;0,5550;-0,8365;0,1993;1,023
0,8270;0,5550;-0,8404;0,1954;1,026
0,8340;0,5550;-0,8326;0,1993;1,020
0,8440;0,5629;-0,8287;0,1837;1,018
0,8890;0,5707;-0,8208;0,1915;1,018
0,8910;0,5707;-0,8287;0,1798;1,022
0,8940;0,5590;-0,8326;0,1915;1,021
0,8950;0,5550;-0,8404;0,1915;1,025
0,8970;0,5550;-0,8404;0,1954;1,026
0,9060;0,5550;-0,8365;0,1915;1,022
0,9190;0,5550;-0,8248;0,2033;1,015
0,9240;0,5550;-0,8326;0,1915;1,019
0,9340;0,5590;-0,8404;0,1954;1,028
0,9760;0,5629;-0,8326;0,1993;1,025
0,9780;0,5629;-0,8326;0,2033;1,025
0,9790;0,5667;-0,8131;0,1837;1,008
0,9810;0,5667;-0,8287;0,1954;1,023
0,9840;0,5590;-0,8404;0,1993;1,029
0,9980;0,5629;-0,8365;0,1876;1,026
1,0040;0,5667;-0,8287;0,1993;1,024
1,0150;0,5746;-0,8326;0,1837;1,028
1,0240;0,5667;-0,8404;0,1798;1,029
1,0340;0,5667;-0,8365;0,1915;1,028
1,0770;0,5590;-0,8404;0,1954;1,028
1,0800;0,5629;-0,8365;0,2071;1,029
1,0820;0,5629;-0,8326;0,1915;1,023
1,0840;0,5667;-0,8248;0,1993;1,020
1,0850;0,5629;-0,8365;0,1837;1,025
1,0990;0,5511;-0,8287;0,1758;1,011
1,1040;0,5472;-0,8287;0,1837;1,010
1,1170;0,5394;-0,8287;0,1837;1,006
1,1240;0,5511;-0,8365;0,1915;1,020
1,1340;0,5590;-0,8443;0,1876;1,030
1,1450;0,5746;-0,8521;0,1876;1,045
1,2540;0,5823;-0,8482;0,1798;1,044
1,2850;0,5785;-0,8521;0,1798;1,046
1,2870;0,5785;-0,8482;0,1641;1,040
1,2880;0,5785;-0,8365;0,1563;1,029
1,2900;0,5785;-0,8248;0,1524;1,019
1,2920;0,5707;-0,8287;0,1602;1,019
1,2940;0,5629;-0,8287;0,1563;1,014
1,2960;0,5511;-0,8287;0,1641;1,009
1,2980;0,5550;-0,8326;0,1641;1,014
1,2990;0,5550;-0,8365;0,1719;1,019
1,3010;0,5550;-0,8404;0,1602;1,020
1,3030;0,5667;-0,8404;0,1758;1,029
1,3050;0,5667;-0,8365;0,1602;1,023
1,3060;0,5707;-0,8404;0,1681;1,030
1,3080;0,5707;-0,8404;0,1719;1,030
1,3180;0,5590;-0,8365;0,1602;1,019
1,3240;0,5511;-0,8287;0,1641;1,009
1,3700;0,5550;-0,8326;0,1641;1,014
1,3720;0,5667;-0,8326;0,1758;1,022
1,3740;0,5823;-0,8365;0,1798;1,035
1,3760;0,5902;-0,8326;0,1758;1,036
1,3770;0,5785;-0,8287;0,1837;1,027
1,3870;0,5746;-0,8404;0,1876;1,035
1,3940;0,5746;-0,8482;0,1915;1,042
1,4350;0,5707;-0,8365;0,1876;1,030
1,4380;0,5785;-0,8326;0,1837;1,030
1,4390;0,5667;-0,8404;0,1876;1,031
1,4410;0,5550;-0,8443;0,1758;1,026
1,4440;0,5511;-0,8287;0,1681;1,009
1,7000;0,5511;-0,8248;0,1758;1,007
1,7020;0,5590;-0,8248;0,1681;1,010
1,7040;0,5629;-0,8287;0,1915;1,020
1,7060;0,5511;-0,8287;0,1798;1,011
1,7070;0,5746;-0,8091;0,1798;1,009
1,7090;0,5863;-0,8052;0,1915;1,014
1,7110;0,5863;-0,8208;0,2033;1,029
1,7130;0,5863;-0,8287;0,2033;1,035
1,7140;0,5785;-0,8287;0,2033;1,031
1,7160;0,5941;-0,8443;0,2033;1,052
1,7180;0,6098;-0,8287;0,2149;1,051
1,7190;0,5981;-0,8287;0,2071;1,043
1,7210;0,6019;-0,8326;0,2110;1,049
1,7230;0,5941;-0,8248;0,1993;1,036
1,7250;0,5746;-0,8131;0,2033;1,016
1,7340;0,5863;-0,8013;0,1915;1,011
1,7790;0,6019;-0,8091;0,1993;1,028
1,7820;0,6019;-0,8248;0,1876;1,038
1,7840;0,5785;-0,8287;0,1681;1,024
1,7860;0,5785;-0,8326;0,1798;1,030
1,7870;0,5823;-0,8208;0,1954;1,025
1,8330;0,5941;-0,8091;0,2033;1,024
1,8350;0,5863;-0,8131;0,2033;1,023
1,8370;0,5863;-0,8169;0,2071;1,027
1,8390;0,5981;-0,8208;0,2189;1,039
1,8400;0,5863;-0,8287;0,2228;1,039
1,8530;0,5823;-0,8248;0,2189;1,033
1,8550;0,5902;-0,8131;0,2110;1,027
1,8680;0,5941;-0,8131;0,1876;1,024
1,8740;0,5863;-0,7896;0,1641;0,997
1,9160;0,5707;-0,7857;0,1485;0,982
1,9180;0,5590;-0,8131;0,1446;0,997
1,9190;0,5550;-0,8326;0,1602;1,013
1,9210;0,5823;-0,8326;0,2071;1,037
1,9340;0,5981;-0,8169;0,2228;1,037
1,9360;0,6098;-0,8131;0,2189;1,040
1,9480;0,6137;-0,8091;0,2149;1,038
1,9890;0,6254;-0,8208;0,1954;1,050
1,9910;0,6215;-0,8248;0,1798;1,048
1,9930;0,6137;-0,8131;0,1563;1,031
1,9970;0,6019;-0,8091;0,1563;1,020
1,9980;0,6019;-0,8013;0,1602;1,015
2,0150;0,6019;-0,7935;0,1602;1,009
2,0170;0,6019;-0,8052;0,1876;1,023
2,0270;0,6019;-0,8169;0,1954;1,033
2,0400;0,6098;-0,8052;0,2033;1,030
2,0440;0,6019;-0,8169;0,1915;1,033
2,0850;0,5981;-0,8131;0,1758;1,025
2,0870;0,6098;-0,8169;0,1798;1,035
2,0890;0,6098;-0,8287;0,1837;1,045
2,0910;0,6137;-0,8169;0,1798;1,037
2,1030;0,6019;-0,7973;0,1719;1,014
2,1060;0,5823;-0,8013;0,1641;1,004
2,1180;0,6019;-0,8131;0,1641;1,025
2,1300;0,6058;-0,8052;0,1719;1,022
2,1340;0,5823;-0,7857;0,1641;0,992
