time,x,y,z
18:09:55:601,0.92,0.09,-0.10
18:09:55:603,1.18,0.14,-0.11
18:09:55:605,1.11,0.13,-0.06
18:09:55:607,0.81,0.04,-0.00
18:09:55:608,0.39,-0.09,0.05
18:09:55:609,0.02,-0.18,0.09
18:09:55:646,-0.16,-0.19,0.11
18:09:55:648,-0.13,-0.13,0.09
18:09:55:649,0.09,-0.03,0.06
18:09:55:651,0.36,0.05,0.03
18:09:55:667,0.49,0.09,0.04
18:09:55:669,0.44,0.11,0.10
18:09:55:677,0.28,0.08,0.18
18:09:55:707,0.14,0.04,0.22
18:09:55:709,0.08,0.02,0.24
18:09:55:712,0.11,0.00,0.23
18:09:55:714,0.10,-0.00,0.19
18:09:55:724,0.05,-0.00,0.17
18:09:55:735,-0.04,-0.05,0.15
18:09:55:741,-0.10,-0.11,0.16
18:09:55:752,-0.13,-0.17,0.19
18:09:55:761,-0.22,-0.25,0.27
18:09:55:788,-0.30,-0.29,0.36
18:09:55:791,-0.39,-0.28,0.42
18:09:55:793,-0.41,-0.24,0.48
18:09:55:804,-0.37,-0.19,0.50
18:09:55:809,-0.31,-0.15,0.49
18:09:55:819,-0.24,-0.13,0.52
18:09:55:836,-0.21,-0.13,0.53
18:09:55:839,-0.15,-0.12,0.53
18:09:55:852,-0.07,-0.09,0.53
18:09:55:857,-0.02,-0.06,0.51
18:09:55:887,0.04,-0.05,0.54
18:09:55:889,0.08,-0.05,0.58
18:09:55:890,0.12,-0.07,0.64
18:09:55:899,0.17,-0.10,0.71
18:09:55:909,0.20,-0.12,0.76
18:09:55:919,0.20,-0.14,0.79
18:09:55:925,0.20,-0.18,0.77
18:09:55:935,0.18,-0.21,0.70
18:09:55:971,0.15,-0.25,0.61
18:09:55:973,0.13,-0.27,0.51
18:09:55:975,0.09,-0.27,0.41
18:09:55:977,0.06,-0.25,0.33
18:09:55:985,0.05,-0.24,0.25
18:09:55:995,0.06,-0.23,0.21
18:09:56:4,0.14,-0.22,0.20
18:09:56:16,0.25,-0.22,0.22
18:09:56:23,0.33,-0.24,0.27
18:09:56:33,0.40,-0.27,0.29
18:09:56:43,0.41,-0.32,0.28
18:09:56:52,0.39,-0.37,0.24
18:09:56:96,0.34,-0.44,0.18
18:09:56:99,0.26,-0.49,0.12
18:09:56:102,0.19,-0.51,0.10
18:09:56:104,0.15,-0.52,0.12
18:09:56:106,0.15,-0.50,0.14
18:09:56:111,0.20,-0.48,0.18
18:09:56:121,0.32,-0.46,0.19
18:09:56:135,0.44,-0.44,0.18
18:09:56:140,0.56,-0.41,0.17
18:09:56:151,0.64,-0.40,0.11
18:09:56:159,0.67,-0.42,0.04
18:09:56:197,0.68,-0.46,-0.03
18:09:56:201,0.66,-0.49,-0.08
18:09:56:203,0.64,-0.50,-0.08
18:09:56:206,0.60,-0.48,-0.06
18:09:56:208,0.54,-0.42,-0.01
18:09:56:218,0.47,-0.37,0.05
18:09:56:227,0.41,-0.34,0.10
18:09:56:237,0.36,-0.30,0.15
18:09:56:279,0.35,-0.29,0.19
18:09:56:286,0.37,-0.29,0.24
18:09:56:288,0.42,-0.26,0.29
18:09:56:290,0.49,-0.22,0.33
18:09:56:296,0.54,-0.20,0.35
18:09:56:297,0.60,-0.17,0.33
18:09:56:306,0.63,-0.15,0.30
18:09:56:318,0.65,-0.16,0.27
18:09:56:324,0.67,-0.18,0.30
18:09:56:334,0.77,-0.33,0.43
18:09:56:344,0.67,-0.45,0.59
18:09:56:377,0.53,-0.47,0.69
18:09:56:381,0.52,-0.43,0.65
18:09:56:383,0.48,-0.23,0.59
18:09:56:385,0.62,-0.11,0.56
