time,x,y,z
18:22:35:885,-0.06,0.08,0.14
18:22:35:888,-0.02,0.00,0.08
18:22:35:898,-0.09,-0.06,0.02
18:22:35:909,-0.12,-0.12,-0.01
18:22:35:915,-0.14,-0.17,-0.03
18:22:35:948,-0.17,-0.21,-0.04
18:22:35:950,-0.19,-0.24,-0.03
18:22:35:952,-0.20,-0.25,-0.00
18:22:35:954,-0.17,-0.24,0.02
18:22:35:967,-0.11,-0.21,0.04
18:22:35:986,-0.05,-0.19,0.05
18:22:35:989,-0.01,-0.15,0.06
18:22:35:992,0.01,-0.13,0.07
18:22:36:5,0.01,-0.12,0.08
18:22:36:18,-0.01,-0.09,0.09
18:22:36:21,-0.02,-0.08,0.10
18:22:36:64,-0.01,-0.06,0.09
18:22:36:78,-0.02,-0.04,0.08
18:22:36:85,-0.03,-0.03,0.07
18:22:36:87,-0.04,-0.03,0.06
18:22:36:89,-0.04,-0.03,0.04
18:22:36:91,-0.04,-0.03,0.02
18:22:36:92,-0.04,-0.04,-0.00
18:22:36:109,-0.07,-0.04,-0.01
18:22:36:112,-0.13,-0.04,0.01
18:22:36:129,-0.17,-0.08,0.02
18:22:36:132,-0.18,-0.10,0.05
18:22:36:161,-0.15,-0.10,0.08
18:22:36:165,-0.12,-0.09,0.11
18:22:36:167,-0.10,-0.06,0.17
18:22:36:168,-0.08,-0.02,0.21
18:22:36:184,-0.10,0.02,0.26
18:22:36:186,-0.11,0.05,0.30
18:22:36:208,-0.12,0.10,0.31
18:22:36:210,-0.13,0.13,0.32
18:22:36:245,-0.15,0.14,0.30
18:22:36:250,-0.17,0.15,0.25
18:22:36:252,-0.19,0.12,0.19
18:22:36:253,-0.22,0.11,0.13
18:22:36:256,-0.22,0.07,0.08
18:22:36:268,-0.20,0.04,0.06
18:22:36:274,-0.19,0.02,0.04
18:22:36:285,-0.17,-0.03,0.05
18:22:36:293,-0.16,-0.08,0.07
18:22:36:303,-0.15,-0.12,0.11
18:22:36:313,-0.10,-0.17,0.14
18:22:36:342,-0.04,-0.20,0.17
18:22:36:344,0.01,-0.21,0.17
18:22:36:345,0.03,-0.24,0.15
18:22:36:353,0.04,-0.28,0.13
18:22:36:361,0.03,-0.35,0.11
18:22:36:371,0.04,-0.45,0.09
18:22:36:384,0.06,-0.54,0.05
18:22:36:391,0.12,-0.60,0.02
18:22:36:401,0.20,-0.62,-0.02
