time,x,y,z
18:35:59:907,0.29,0.07,-0.25
18:35:59:909,0.26,0.04,-0.32
18:35:59:911,0.25,0.02,-0.38
18:35:59:922,0.25,-0.04,-0.40
18:35:59:927,0.23,-0.15,-0.39
18:35:59:941,0.18,-0.35,-0.34
18:35:59:945,0.11,-0.57,-0.30
18:35:59:984,0.06,-0.73,-0.29
18:35:59:986,0.02,-0.82,-0.30
18:35:59:988,-0.04,-0.80,-0.32
18:35:59:990,-0.09,-0.72,-0.34
18:36:00:7,-0.11,-0.63,-0.34
18:36:00:11,-0.08,-0.58,-0.33
18:36:00:35,-0.01,-0.56,-0.31
18:36:00:38,0.06,-0.55,-0.28
18:36:00:41,0.09,-0.53,-0.25
18:36:00:43,0.06,-0.51,-0.22
18:36:00:58,-0.01,-0.47,-0.18
18:36:00:96,-0.07,-0.44,-0.13
18:36:00:99,-0.09,-0.40,-0.09
18:36:00:102,-0.08,-0.36,-0.04
18:36:00:104,-0.06,-0.33,-0.01
18:36:00:106,-0.05,-0.33,-0.02
18:36:00:115,-0.05,-0.34,-0.05
18:36:00:124,-0.04,-0.35,-0.11
18:36:00:130,-0.04,-0.35,-0.18
18:36:00:140,-0.05,-0.34,-0.24
18:36:00:177,-0.07,-0.34,-0.30
18:36:00:179,-0.08,-0.30,-0.35
18:36:00:181,-0.06,-0.27,-0.40
18:36:00:183,-0.02,-0.22,-0.44
18:36:00:193,0.06,-0.18,-0.48
18:36:00:210,0.10,-0.15,-0.48
18:36:00:212,0.12,-0.12,-0.47
18:36:00:221,0.12,-0.08,-0.46
18:36:00:226,0.12,-0.05,-0.44
18:36:00:258,0.15,-0.00,-0.42
18:36:00:260,0.20,0.03,-0.42
18:36:00:262,0.23,0.07,-0.42
18:36:00:271,0.19,0.10,-0.43
18:36:00:275,0.10,0.12,-0.40
18:36:00:288,0.03,0.15,-0.34
18:36:00:295,-0.01,0.17,-0.29
18:36:00:305,-0.00,0.17,-0.24
18:36:00:322,0.03,0.15,-0.22
18:36:00:325,0.02,0.12,-0.24
18:36:00:339,0.01,0.09,-0.27
18:36:00:343,-0.02,0.09,-0.32
18:36:00:378,-0.05,0.11,-0.37
18:36:00:380,-0.05,0.13,-0.40
18:36:00:383,-0.08,0.17,-0.42
18:36:00:385,-0.08,0.22,-0.40
18:36:00:395,-0.07,0.28,-0.35
18:36:00:406,-0.06,0.31,-0.28
18:36:00:412,-0.04,0.32,-0.18
18:36:00:422,-0.03,0.32,-0.13
18:36:00:431,-0.02,0.31,-0.10
18:36:00:442,0.00,0.28,-0.09
18:36:00:479,0.03,0.23,-0.12
18:36:00:481,0.07,0.14,-0.13
18:36:00:484,0.08,0.07,-0.15
18:36:00:486,0.08,0.03,-0.18
18:36:00:496,0.06,0.01,-0.22
18:36:00:499,0.06,-0.01,-0.25
18:36:00:509,0.08,-0.05,-0.28
18:36:00:584,0.11,-0.08,-0.33
18:36:00:586,0.15,-0.12,-0.38
18:36:00:588,0.17,-0.12,-0.43
18:36:00:589,0.18,-0.10,-0.47
18:36:00:591,0.17,-0.06,-0.49
18:36:00:592,0.13,0.01,-0.48
18:36:00:594,0.06,0.09,-0.46
18:36:00:596,-0.02,0.15,-0.41
18:36:00:598,-0.08,0.22,-0.36
18:36:00:606,-0.14,0.23,-0.30
18:36:00:650,-0.17,0.21,-0.26
18:36:00:652,-0.19,0.14,-0.21
18:36:00:654,-0.19,0.04,-0.16
18:36:00:656,-0.17,-0.03,-0.13
18:36:00:658,-0.12,-0.09,-0.09
18:36:00:664,-0.05,-0.11,-0.04
18:36:00:674,0.00,-0.10,0.01
18:36:00:716,0.05,-0.08,0.03
18:36:00:719,0.09,-0.07,0.07
18:36:00:720,0.12,-0.08,0.10
18:36:00:722,0.16,-0.13,0.11
18:36:00:724,0.20,-0.17,0.11
18:36:00:738,0.23,-0.19,0.09
18:36:00:742,0.24,-0.21,0.08
18:36:00:783,0.24,-0.19,0.07
18:36:00:785,0.21,-0.16,0.06
18:36:00:787,0.16,-0.13,0.06
18:36:00:788,0.09,-0.12,0.03
18:36:00:791,0.02,-0.11,0.01
