time;x;y;z;gforce
0.0040;0.6215;-0.6957;0.3713;1.004
0.0170;0.6293;-0.6957;0.3752;1.010
0.0220;0.6371;-0.6957;0.3869;1.020
0.0410;0.6410;-0.7074;0.3752;1.026
0.0440;0.6410;-0.7036;0.3635;1.019
0.0960;0.6528;-0.6997;0.3635;1.024
0.0990;0.6489;-0.7074;0.3635;1.026
0.1010;0.6449;-0.7232;0.3674;1.036
0.1030;0.6449;-0.6997;0.3752;1.023
0.1050;0.6489;-0.6997;0.3791;1.027
0.1080;0.6449;-0.7036;0.3791;1.027
0.1100;0.6489;-0.7036;0.3752;1.028
0.1310;0.6528;-0.6997;0.3831;1.031
0.1340;0.6528;-0.7036;0.3791;1.032
0.1510;0.6410;-0.6997;0.3831;1.023
0.1530;0.6371;-0.7036;0.3791;1.022
0.1980;0.6371;-0.6957;0.3869;1.020
0.2000;0.6332;-0.6957;0.3869;1.017
0.2030;0.6293;-0.6918;0.3869;1.012
0.2060;0.6254;-0.6957;0.3948;1.015
0.2210;0.6293;-0.6801;0.3987;1.009
0.2230;0.6332;-0.6918;0.4026;1.021
0.2370;0.6293;-0.6880;0.4026;1.016
0.2400;0.6332;-0.6762;0.4065;1.012
0.2940;0.6371;-0.6957;0.4104;1.029
0.2960;0.6410;-0.6918;0.4065;1.027
0.3050;0.6566;-0.6723;0.4221;1.030
0.3060;0.6332;-0.7153;0.4026;1.037
0.3110;0.6332;-0.6957;0.3987;1.022
0.3140;0.6371;-0.6841;0.4104;1.021
0.3170;0.6293;-0.6918;0.4143;1.023
0.3450;0.6332;-0.6957;0.4143;1.028
0.3470;0.6332;-0.6841;0.4143;1.020
0.3500;0.6371;-0.6762;0.4143;1.017
0.3510;0.6371;-0.6801;0.4104;1.018
0.3710;0.6449;-0.6841;0.4183;1.029
0.3740;0.6528;-0.6880;0.4221;1.038
0.5030;0.6489;-0.6841;0.4260;1.035
0.5050;0.6410;-0.6801;0.4260;1.027
0.5070;0.6410;-0.6880;0.4221;1.031
0.5090;0.6371;-0.6841;0.4143;1.023
0.5110;0.6332;-0.6918;0.4104;1.024
0.5130;0.6293;-0.6801;0.4065;1.012
0.5150;0.6371;-0.6762;0.4065;1.014
0.5180;0.6332;-0.6801;0.4026;1.013
0.5200;0.6332;-0.6841;0.4104;1.018
0.5210;0.6410;-0.6841;0.4143;1.025
0.5230;0.6528;-0.6841;0.4221;1.036
0.5250;0.6566;-0.6918;0.4221;1.043
0.5260;0.6449;-0.6880;0.4183;1.032
0.5280;0.6410;-0.6880;0.4143;1.028
0.5310;0.6371;-0.6841;0.4143;1.023
0.5420;0.6371;-0.6841;0.4065;1.019
0.5600;0.6293;-0.6801;0.4026;1.010
0.6080;0.6293;-0.6880;0.4065;1.017
0.6110;0.6254;-0.6918;0.3987;1.014
0.6130;0.6254;-0.6918;0.4026;1.016
0.6150;0.6332;-0.6918;0.4183;1.027
